FraNode,MyNode,nDups,Lon,Lat
350865,2929,2,-99.161879,34.093666
350897,2930,3,-99.139217,47.677238
350906,2931,3,-99.137602,47.462485
350908,2932,3,-99.136428,47.676326
350909,2933,3,-99.135599,47.460607
350955,2934,3,-99.105488,38.171084
351081,2935,3,-99.022676,34.38034
351100,2936,1,-99.012315,31.693996
351129,2937,3,-98.994519,31.712068
351140,2938,1,-98.991649,31.683825
351143,2939,3,-98.990368,31.713131
351196,2940,3,-98.970233,35.526746
351201,2941,3,-98.967868,35.523421
351209,2942,4,-98.965394,35.526669
351213,2943,3,-98.96364,35.52514
351215,2944,3,-98.963335,35.527638
351230,2945,3,-98.95924,35.53545
351240,2946,1,-98.954646,40.088351
351260,2947,4,-98.946641,34.660814
351266,2948,3,-98.945327,34.662331
351269,2949,3,-98.944737,34.659726
351271,2950,3,-98.944435,36.548429
351273,2951,1,-98.942682,48.856601
351299,2952,1,-98.924155,41.602837
351305,2953,1,-98.920129,48.14227
351319,2954,3,-98.91395,47.17151
351320,2955,3,-98.91345,47.17495
351326,2956,3,-98.91012,31.701469
351327,2957,3,-98.909217,47.169496
351352,2958,3,-98.892957,36.572951
351399,2959,3,-98.865339,48.112511
351405,2960,3,-98.864172,48.118534
351425,2961,3,-98.85344,35.68267
351456,2962,3,-98.82831,40.754295
351465,2963,1,-98.8205,37.51025
351467,2964,3,-98.820296,40.753684
351470,2965,3,-98.818979,40.756848
351479,2966,1,-98.808177,26.379309
351514,2967,3,-98.792317,36.698368
351552,2968,3,-98.776791,48.631014
351573,2969,3,-98.766187,38.355976
351591,2970,1,-98.759832,35.749194
351636,2971,1,-98.735445,37.636562
351677,2972,3,-98.716118,46.908983
351692,2973,1,-98.710748,35.523122
351695,2974,1,-98.708835,46.359736
351718,2975,3,-98.69344,46.90765
351728,2976,1,-98.691095,39.442927
351729,2977,1,-98.69068,39.5627
351766,2978,1,-98.671816,30.754361
351770,2979,1,-98.671505,32.212613
351811,2980,1,-98.655181,42.454107
351898,2981,1,-98.59717,33.85673
351899,2982,3,-98.596914,29.331284
351902,2983,1,-98.596004,29.599872
351908,2984,3,-98.593532,29.334475
351933,2985,1,-98.587769,37.28082
351936,2986,2,-98.586588,34.152885
351947,2987,1,-98.579499,29.351149
351961,2988,3,-98.576329,38.352127
351963,2989,3,-98.575788,29.354089
351997,2990,1,-98.565175,45.24557
352027,2991,3,-98.556221,33.933383
352036,2992,3,-98.554267,39.503146
352039,2993,1,-98.553795,40.469979
352043,2994,3,-98.55293,39.49944
352057,2995,3,-98.550994,29.383459
352079,2996,1,-98.545833,39.416021
352084,2997,3,-98.544203,39.502363
352094,2998,3,-98.541829,29.381806
352117,2999,3,-98.536188,29.393309
352182,3000,3,-98.517949,29.405426
352211,3001,3,-98.512232,44.87264
352212,3002,1,-98.511482,40.078275
352218,3003,1,-98.510736,29.40799
352228,3004,3,-98.507658,29.417234
352236,3005,3,-98.506002,29.428875
352249,3006,2,-98.503647,36.998655
352294,3007,3,-98.499409,33.923276
352304,3008,3,-98.49813,45.465669
352347,3009,3,-98.494974,45.463301
352368,3010,3,-98.49112,45.465699
352390,3011,3,-98.487499,29.402858
352424,3012,3,-98.482349,44.412914
352428,3013,1,-98.481152,28.707959
352436,3014,3,-98.480091,44.413965
352443,3015,1,-98.478826,29.425836
352444,3016,3,-98.478652,44.410478
352446,3017,3,-98.477728,29.418621
352449,3018,3,-98.47733,44.412057
352465,3019,3,-98.47422,28.707579
352468,3020,1,-98.473811,28.700968
352470,3021,3,-98.473411,45.465887
352596,3022,3,-98.443495,40.085392
352597,3023,1,-98.44293,47.825573
352618,3024,3,-98.436464,40.089927
352643,3025,3,-98.430677,40.458193
352648,3026,3,-98.429188,40.083177
352702,3027,3,-98.418667,29.450331
352707,3028,1,-98.41715,35.829723
352730,3029,3,-98.409789,40.582841
352750,3030,3,-98.405699,40.579977
352773,3031,3,-98.400499,40.583241
352783,3032,3,-98.399526,31.228899
352824,3033,1,-98.391717,29.427632
352847,3034,1,-98.385749,35.550992
352852,3035,1,-98.384299,29.262463
352861,3036,3,-98.380834,34.669736
352867,3037,1,-98.378211,30.605567
352870,3038,1,-98.37601,48.760078
352888,3039,1,-98.368585,40.861441
352902,3040,3,-98.364535,40.916623
352908,3041,4,-98.363561,29.282427
352917,3042,3,-98.360633,29.283303
352922,3043,3,-98.360159,29.281282
352977,3044,3,-98.346957,40.595721
352994,3045,3,-98.344227,40.58565
353003,3046,3,-98.342289,40.591174
353008,3047,3,-98.341571,40.590401
353009,3048,3,-98.341457,30.643534
353023,3049,3,-98.338565,32.083343
353045,3050,3,-98.33434,40.929711
353048,3051,3,-98.333767,40.586085
