,energy_system_scenario,oil_prices,renewables_prices,hydrogen_subsidies,region,year,energy_price,technology,energy_price_unit,upstream_CO2_emission_factor,CO2_emission_factor_unit
74,50% CO2 reduction by 2050,High,Advanced,Yes,north_east,2035,9.117131089,Biodiesel,$/Gallon,2.4,kgCO2/gallon
75,50% CO2 reduction by 2050,High,Advanced,Yes,north_east,2040,6.968427911,Biodiesel,$/Gallon,2.4,kgCO2/gallon
76,50% CO2 reduction by 2050,High,Advanced,Yes,north_east,2045,5.978231393,Biodiesel,$/Gallon,2.4,kgCO2/gallon
77,50% CO2 reduction by 2050,High,Advanced,Yes,north_east,2050,4.942862738,Biodiesel,$/Gallon,2.4,kgCO2/gallon
78,50% CO2 reduction by 2050,High,Advanced,Yes,north_west,2025,4.77294307,Biodiesel,$/Gallon,2.4,kgCO2/gallon
79,50% CO2 reduction by 2050,High,Advanced,Yes,north_west,2030,3.739674698,Biodiesel,$/Gallon,2.4,kgCO2/gallon
80,50% CO2 reduction by 2050,High,Advanced,Yes,north_west,2035,2.930157651,Biodiesel,$/Gallon,2.4,kgCO2/gallon
81,50% CO2 reduction by 2050,High,Advanced,Yes,north_west,2040,2.295835041,Biodiesel,$/Gallon,2.4,kgCO2/gallon
82,50% CO2 reduction by 2050,High,Advanced,Yes,north_west,2045,1.798876623,Biodiesel,$/Gallon,2.4,kgCO2/gallon
83,50% CO2 reduction by 2050,High,Advanced,Yes,north_west,2050,1.409479674,Biodiesel,$/Gallon,2.4,kgCO2/gallon
84,50% CO2 reduction by 2050,High,Advanced,Yes,north_central,2025,6.799362405,Biodiesel,$/Gallon,2.4,kgCO2/gallon
85,50% CO2 reduction by 2050,High,Advanced,Yes,north_central,2030,5.132263938,Biodiesel,$/Gallon,2.4,kgCO2/gallon
86,50% CO2 reduction by 2050,High,Advanced,Yes,north_central,2035,4.127017318,Biodiesel,$/Gallon,2.4,kgCO2/gallon
87,50% CO2 reduction by 2050,High,Advanced,Yes,north_central,2040,3.151339389,Biodiesel,$/Gallon,2.4,kgCO2/gallon
88,50% CO2 reduction by 2050,High,Advanced,Yes,north_central,2045,2.576461765,Biodiesel,$/Gallon,2.4,kgCO2/gallon
89,50% CO2 reduction by 2050,High,Advanced,Yes,north_central,2050,2.057057219,Biodiesel,$/Gallon,2.4,kgCO2/gallon
