energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
Reference/business as usual,Baseline,2030,middle_atlantic,hydrogen,-0.307397374,$/kgH2
Reference/business as usual,Baseline,2030,north_east,hydrogen,0.436383718,$/kgH2
Reference/business as usual,Baseline,2030,north_west,hydrogen,-0.33379851,$/kgH2
Reference/business as usual,Baseline,2030,north_central,hydrogen,0.112357521,$/kgH2
Reference/business as usual,Baseline,2030,south_east,hydrogen,-0.136084384,$/kgH2
Reference/business as usual,Baseline,2030,south_west,hydrogen,-0.159365403,$/kgH2
Reference/business as usual,Baseline,2030,texas,hydrogen,-0.56673534,$/kgH2
Reference/business as usual,Baseline,2030,california,diesel,3.854481666,$/gallon
Reference/business as usual,Baseline,2030,central,diesel,2.685660453,$/gallon
Reference/business as usual,Baseline,2030,middle_atlantic,diesel,3.064133497,$/gallon
Reference/business as usual,Baseline,2030,north_east,diesel,2.918038088,$/gallon
Reference/business as usual,Baseline,2030,north_west,diesel,2.839956699,$/gallon
Reference/business as usual,Baseline,2030,north_central,diesel,2.685660453,$/gallon
Reference/business as usual,Baseline,2030,south_east,diesel,2.798516407,$/gallon
Reference/business as usual,Baseline,2030,south_west,diesel,2.839956699,$/gallon
Reference/business as usual,Baseline,2030,texas,diesel,2.666047208,$/gallon
Reference/business as usual,Baseline,2030,california,battery,0.155240177,$/kWh
Reference/business as usual,Baseline,2030,central,battery,0.103469514,$/kWh
Reference/business as usual,Baseline,2030,middle_atlantic,battery,0.094018154,$/kWh
Reference/business as usual,Baseline,2030,north_east,battery,0.202331339,$/kWh
Reference/business as usual,Baseline,2030,north_west,battery,0.135918362,$/kWh
Reference/business as usual,Baseline,2030,north_central,battery,0.116400883,$/kWh
Reference/business as usual,Baseline,2030,south_east,battery,0.089766931,$/kWh
Reference/business as usual,Baseline,2030,south_west,battery,0.106143037,$/kWh
Reference/business as usual,Baseline,2030,texas,battery,0.087522498,$/kWh
Reference/business as usual,Baseline,2030,california,catenary,0.155240177,$/kWh
Reference/business as usual,Baseline,2030,central,catenary,0.103469514,$/kWh
Reference/business as usual,Baseline,2030,middle_atlantic,catenary,0.094018154,$/kWh
Reference/business as usual,Baseline,2030,north_east,catenary,0.202331339,$/kWh
Reference/business as usual,Baseline,2030,north_west,catenary,0.135918362,$/kWh
Reference/business as usual,Baseline,2030,north_central,catenary,0.116400883,$/kWh
Reference/business as usual,Baseline,2030,south_east,catenary,0.089766931,$/kWh
Reference/business as usual,Baseline,2030,south_west,catenary,0.106143037,$/kWh
Reference/business as usual,Baseline,2030,texas,catenary,0.087522498,$/kWh
