energy_system_scenario,freight_demand_scenario,year,region,technology,energy_price,energy_price_unit
Reference/business as usual,Population Shift,2045,north_central,battery,0.036403588,$/kWh
Reference/business as usual,Population Shift,2045,north_east,diesel,2.191396245,$/gallon
Reference/business as usual,Population Shift,2045,north_east,hydrogen,1.880968894,$/kgH2
Reference/business as usual,Population Shift,2045,north_east,biodiesel,4.102299917,$/gallon
Reference/business as usual,Population Shift,2045,north_east,catenary,0.050923152,$/kWh
Reference/business as usual,Population Shift,2045,north_east,battery,0.050923152,$/kWh
Reference/business as usual,Population Shift,2045,north_west,diesel,1.925845943,$/gallon
Reference/business as usual,Population Shift,2045,north_west,hydrogen,1.521564351,$/kgH2
Reference/business as usual,Population Shift,2045,north_west,biodiesel,1.916212605,$/gallon
Reference/business as usual,Population Shift,2045,north_west,catenary,0.041568328,$/kWh
Reference/business as usual,Population Shift,2045,north_west,battery,0.041568328,$/kWh
Reference/business as usual,Population Shift,2045,south_east,diesel,2.065355143,$/gallon
Reference/business as usual,Population Shift,2045,south_east,hydrogen,1.466248482,$/kgH2
Reference/business as usual,Population Shift,2045,south_east,biodiesel,3.945208853,$/gallon
Reference/business as usual,Population Shift,2045,south_east,catenary,0.04314406,$/kWh
Reference/business as usual,Population Shift,2045,south_east,battery,0.04314406,$/kWh
Reference/business as usual,Population Shift,2045,south_west,diesel,1.925845943,$/gallon
Reference/business as usual,Population Shift,2045,south_west,hydrogen,1.521751156,$/kgH2
Reference/business as usual,Population Shift,2045,south_west,biodiesel,1.903524272,$/gallon
Reference/business as usual,Population Shift,2045,south_west,catenary,0.046289353,$/kWh
Reference/business as usual,Population Shift,2045,south_west,battery,0.046289353,$/kWh
Reference/business as usual,Population Shift,2045,texas,diesel,2.008428247,$/gallon
Reference/business as usual,Population Shift,2045,texas,hydrogen,1.330235984,$/kgH2
Reference/business as usual,Population Shift,2045,texas,biodiesel,3.776920304,$/gallon
Reference/business as usual,Population Shift,2045,texas,catenary,0.047468267,$/kWh
Reference/business as usual,Population Shift,2045,texas,battery,0.047468267,$/kWh
Reference/business as usual,Population Shift,2050,california,diesel,3.311134358,$/gallon
Reference/business as usual,Population Shift,2050,california,hydrogen,1.494780807,$/kgH2
Reference/business as usual,Population Shift,2050,california,biodiesel,1.572025188,$/gallon
Reference/business as usual,Population Shift,2050,california,catenary,0.043747724,$/kWh
Reference/business as usual,Population Shift,2050,california,battery,0.043747724,$/kWh
Reference/business as usual,Population Shift,2050,central,diesel,1.965873311,$/gallon
Reference/business as usual,Population Shift,2050,central,hydrogen,1.140268369,$/kgH2
