energy_system_scenario,freight_demand_scenario,year,region,technology,number_of_charging_stations,operational_refueling_energy_use (GJ),energy_refueled_to_tenders&locomotives (GJ),cost_per_station ($),infrastructure_O&M_cost ($/year)
Reference/business as usual,Agricultural Shift,2040,north_central,hydrogen,41,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,north_central,battery,53,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_east,hydrogen,53,2028007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,north_east,battery,38,1859007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_west,hydrogen,44,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,north_west,battery,46,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_east,hydrogen,55,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,south_east,battery,50,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_west,hydrogen,39,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,south_west,battery,54,9364091,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,texas,hydrogen,40,15179882,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,texas,biodiesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2040,texas,catenary,0,0,12649902,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2040,texas,battery,55,13914892,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,california,diesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,california,hydrogen,40,6569826,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,california,biodiesel,0,0,5972344,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,california,catenary,0,0,5972569,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,california,battery,46,7167083,5972569,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,central,diesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,central,hydrogen,54,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,central,biodiesel,0,0,14460597,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,central,catenary,0,0,14461141,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,central,battery,46,17353369,14461141,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,diesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,hydrogen,38,13888006,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,biodiesel,0,0,12624986,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,catenary,0,0,12625460,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,middle_atlantic,battery,43,13888006,12625460,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_central,diesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_central,hydrogen,56,28821099,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_central,biodiesel,0,0,26200014,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_central,catenary,0,0,26200999,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,north_central,battery,55,31441199,26200999,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_east,diesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_east,hydrogen,38,2028007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_east,biodiesel,0,0,1689943,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_east,catenary,0,0,1690006,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,north_east,battery,50,2028007,1690006,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_west,diesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_west,hydrogen,42,17937528,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_west,biodiesel,0,0,14947379,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,north_west,catenary,0,0,14947940,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,north_west,battery,55,16442734,14947940,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_east,diesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_east,hydrogen,44,8920141,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_east,biodiesel,0,0,7433172,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_east,catenary,0,0,7433451,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,south_east,battery,48,8176796,7433451,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_west,diesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_west,hydrogen,39,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_west,biodiesel,0,0,8512490,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,south_west,catenary,0,0,8512810,460833.7237,4550000000
Reference/business as usual,Agricultural Shift,2045,south_west,battery,43,10215372,8512810,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,texas,diesel,0,0,12649427,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,texas,hydrogen,43,15179882,12649902,460833.7237,455000000
Reference/business as usual,Agricultural Shift,2045,texas,biodiesel,0,0,12649427,460833.7237,455000000
