Dist(mi),SpdLim(mph),Grade(%),Curve(Doc),Catenary(Y/N),Elev
50.85153126,60.0,0.259,0.0,0,379.7535029
51.16221676,60.0,0.151,0.805,0,382.2374393
51.4702223,60.0,0.702,1.249,0,393.6457911
51.7809078,60.0,-0.523,0.064,0,385.0739229
52.08949803,60.0,-0.403,1.264,0,378.5036888
52.40017919,60.0,-0.279,0.891,0,373.9297084
52.71086469,60.0,-0.42,0.006,0,367.0443048
53.02155019,60.0,-0.742,0.0,0,354.8789588
53.33223569,60.0,-0.391,0.0,0,348.4616382
53.64292119,60.0,-0.691,0.0,0,337.1230628
53.95360669,60.0,0.086,0.0,0,338.5403906
54.26429219,60.0,-0.044,0.031,0,337.8170457
54.57492736,60.0,0.009,0.736,0,337.9636854
54.88448941,60.0,0.317,1.496,0,343.1530718
55.19502579,60.0,0.411,0.855,0,349.8891107
55.50571129,60.0,-0.162,0.018,0,347.2261507
55.81602273,60.0,-0.289,1.332,0,342.4862009
56.12542821,60.0,-0.338,1.495,0,336.965238
56.43611371,60.0,0.641,0.245,0,347.4733295
56.74679921,60.0,-0.941,0.0,0,332.0402656
57.05748471,60.0,0.878,0.0,0,346.4497135
57.36817021,60.0,0.216,0.0,0,349.9930204
57.67885571,60.0,-0.31,0.2,0,344.9143468
57.98914663,60.0,0.959,0.345,0,360.619025
58.29969916,60.0,0.442,0.162,0,367.8728088
58.61038466,60.0,0.389,0.307,0,374.2564074
58.92107016,60.0,-0.055,0.0,0,373.3508967
59.23175566,60.0,-0.756,0.0,0,360.9493271
59.54244116,60.0,-0.662,0.0,0,350.0831905
59.85312666,60.0,-0.624,0.0,0,339.8469754
60.16381216,60.0,-0.542,0.0,0,330.9493417
60.47449766,60.0,0.175,0.0,0,333.8233566
60.78518316,60.0,0.001,0.571,0,333.8398284
61.09415555,60.0,-0.594,0.952,0,324.1522766
61.40484105,60.0,-1.266,0.376,0,303.3852636
61.71552655,60.0,0.569,0.0,0,312.715969
62.02621205,60.0,-0.598,0.0,0,302.9128226
62.33689755,60.0,0.547,0.539,0,311.8803875
62.64525166,60.0,1.52,1.138,0,336.6279401
62.95593716,60.0,0.547,0.591,0,345.596918
63.26662266,60.0,-1.116,0.0,0,327.2898543
63.57730816,60.0,0.391,0.0,0,333.7071862
63.88799366,60.0,-0.286,0.0,0,329.0221681
64.19867916,60.0,-0.713,0.0,0,317.3292743
64.50936466,60.0,-0.027,0.083,0,316.8827938
64.81995136,60.0,0.259,0.205,0,321.1382758
65.13063686,60.0,-1.386,0.121,0,298.3993023
65.44132236,60.0,-1.114,0.0,0,280.1315918
65.75200786,60.0,0.809,0.0,0,293.3993072
66.06269336,60.0,1.39,0.0,0,316.19458
66.37337886,60.0,-0.234,0.215,0,312.348008
66.68395438,60.0,0.962,0.275,0,328.1160206
66.99463988,60.0,-0.314,0.206,0,322.9635102
67.30471582,60.0,-0.448,1.282,0,315.624476
67.61502726,60.0,1.095,1.233,0,333.5624078
67.92571276,60.0,0.441,0.098,0,340.8046473
68.23639826,60.0,0.418,0.0,0,347.6551351
68.54708376,60.0,-0.154,0.0,0,345.1355455
68.85776926,60.0,-0.23,0.452,0,341.3575044
69.1657052,60.0,-0.414,1.159,0,334.6241838
69.4763907,60.0,-1.447,0.697,0,310.8816015
69.7870762,60.0,-1.27,0.0,0,290.0548449
70.0977617,60.0,-1.56,0.0,0,264.464302
70.4084472,60.0,-0.884,0.331,0,249.9608279
70.71842185,60.0,-0.051,0.647,0,249.1301433
71.02910735,60.0,0.046,0.314,0,249.8895511
71.33979285,60.0,0.062,0.0,0,250.9131731
71.65047835,60.0,-0.931,0.0,0,235.6376717
71.96116385,60.0,-0.95,0.0,0,220.0472974
72.27184935,60.0,-0.336,0.0,0,214.5356786
72.58253485,60.0,-0.379,0.0,0,208.3153235
72.89322035,60.0,-0.011,0.224,0,208.1374835
73.20366538,60.0,0.502,0.349,0,216.364743
73.51435088,60.0,-0.676,0.125,0,205.281694
73.82503638,60.0,-0.336,0.0,0,199.7700027
74.13572188,60.0,0.588,0.0,0,209.4157993
74.44640738,60.0,-0.679,0.0,0,198.2741687
74.75709288,60.0,-0.026,0.005,0,197.8452928
75.06282791,60.0,-0.906,0.733,0,183.2160803
75.36997658,60.0,0.229,1.583,0,186.9287651
75.68065959,60.0,-0.616,0.972,0,176.8282328
75.99098283,60.0,-0.319,0.816,0,171.6042431
76.30150057,60.0,0.456,0.747,0,179.0822278
76.61218607,60.0,-0.47,0.065,0,171.3773966
76.92287157,60.0,-0.529,0.119,0,162.6915435
77.23334952,60.0,-0.31,0.293,0,157.6067581
77.54403502,60.0,-0.184,0.173,0,154.5936586
77.85472052,60.0,-0.408,0.0,0,147.9007694
78.16540602,60.0,-0.156,0.0,0,145.3417441
78.47609152,60.0,0.061,0.023,0,146.3440814
78.78672481,60.0,0.096,0.492,0,147.9126376
79.09738982,60.0,-0.05,0.452,0,147.0877313
79.4038152,47.5712742,0.102,2.525,0,148.7337468
79.71395886,57.96011881,-0.796,1.701,0,135.7007036
80.02464436,60.0,0.921,0.448,0,150.8171415
80.3341244,60.0,0.397,1.245,0,157.3051766
80.64414006,60.0,1.456,0.917,0,181.1359558
80.95482494,60.0,1.055,0.577,0,198.4410502
81.26536565,60.0,-0.399,0.386,0,191.8941724
81.57605115,60.0,-0.547,0.06,0,182.9258548
81.88673665,60.0,0.422,0.0,0,189.8549868
82.19742215,60.0,0.475,0.0,0,197.6502601
82.50810765,60.0,1.29,0.416,0,218.8044464
82.81812766,60.0,0.14,0.368,0,221.1015079
83.1281371,60.0,0.859,0.909,0,235.1624529
83.43826212,60.0,-0.363,1.508,0,229.2220456
83.74644909,60.0,-1.041,1.45,0,212.2833594
84.05713333,60.0,-0.389,0.792,0,205.8989481
84.36781883,60.0,0.6,0.001,0,215.7421472
84.67850433,60.0,0.811,0.0,0,229.0493774
84.98918983,60.0,0.768,0.0,0,241.6479168
85.29987533,60.0,0.269,0.514,0,246.0681042
85.60777212,55.25254157,-0.37,1.872,0,240.0484132
85.9182886,60.0,-0.192,1.405,0,236.9023219
86.2289741,60.0,-0.753,0.063,0,224.5504973
86.5396596,60.0,-0.653,0.0,0,213.8418397
86.8503451,60.0,0.055,0.0,0,214.7473516
87.1610306,60.0,-0.007,0.0,0,214.6292422
87.4717161,60.0,0.019,0.0,0,214.9442032
87.7824016,60.0,0.367,0.0,0,220.9678235
88.0930871,60.0,0.096,0.0,0,222.5426262
88.4037726,60.0,0.715,0.0,0,234.2749066
88.7144581,60.0,-0.454,0.0,0,226.8339641
89.0251436,60.0,-0.408,0.0,0,220.1410531
89.3358291,60.0,-0.329,0.0,0,214.7473541
89.6465146,60.0,-0.506,0.0,0,206.4402701
89.9572001,60.0,-0.592,0.819,0,196.7306847
90.26258157,46.70086263,-0.245,2.62,0,192.7742574
90.57296758,55.77197191,-0.263,1.837,0,188.4713587
