,"Unit No	""Type (1","17)""	Tare(ton)	Net(ton)	Gross(ton)	Len(ft)	Axles(n)	aRes	bRes*1000	cRes*1000	eMax(MWh)	eInit(MWh)	teMax (kips)	ptMax (kw)	catMax (kw)	batMax (kw)	auxMax (kw)	rbMax (kw)	dbMax (kw)"
54,55	5	229.7	0	229.7	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
55,56	5	228.7	0	228.7	74.5	6	120	30	2.4	3	3	107	3300	3300	1000	1000	1000	2500,
56,57	8	101.1	0	101.1	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
57,58	8	108.6	0	108.6	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
58,59	8	109.8	0	109.8	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
59,60	8	94.2	0	94.2	65	4	90	45	0.5	7	7	50	0	0	0	0	0	0,
60,61	12	135.6	110	245.6	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
61,62	11	20.9	87.5	108.4	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
62,63	11	21.4	87.5	108.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
63,64	13	23.5	121	144.5	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
64,65	11	24.4	87.5	111.9	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
65,66	11	108.3	87.5	195.8	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
66,67	13	144.2	121	265.2	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
67,68	13	142.7	121	263.7	4	4	105	45	0.42000000000000004	0	0	0	0	0	0	0	0	0,
68,69	11	107.6	87.5	195.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
69,70	11	20.7	87.5	108.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
70,71	14	148.5	102.6	251.1	4	4	110	45	0.5	0	0	0	0	0	0	0	0	0,
71,72	14	146.2	102.6	248.79999999999998	4	4	110	45	0.5	0	0	0	0	0	0	0	0	0,
72,73	11	24	87.5	111.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
73,74	11	21.2	87.5	108.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
74,75	11	100.5	87.5	188	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
75,76	11	20.6	87.5	108.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
76,77	11	114	87.5	201.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
77,78	11	101.2	87.5	188.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
78,79	11	119.5	87.5	207	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
79,80	11	105	87.5	192.5	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
80,81	11	105.8	87.5	193.3	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
81,82	11	22.1	87.5	109.6	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
82,83	11	22.6	87.5	110.1	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
83,84	11	22.7	87.5	110.2	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
84,85	11	24.5	87.5	112	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
85,86	11	99.8	87.5	187.3	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
86,87	11	23.2	87.5	110.7	4	4	160	45	0.5	0	0	0	0	0	0	0	0	0,
87,88	12	157.2	110	267.2	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
88,89	12	151.2	110	261.2	4	4	105	45	0.5	0	0	0	0	0	0	0	0	0,
