,Dist(mi)	SpdLim(mph)	Grade(%)	Curve(Doc)	Catenary(Y/N)
62,19.23338917710481	60.0	-0.9163817177992506	1.398691127	0
63,19.544074051322077	60.0	-0.6753066106843248	0.990979666	0
64,19.85410027383277	60.0	-1.3336478631910271	1.037597324	0
65,20.162687395142306	58.3965535768206	-0.9886740032095522	1.675666231	0
66,20.473368552691074	60.0	-1.2977578080627095	0.876089579	0
67,20.784054052691072	60.0	-0.5391400262639999	0.222499531	0
68,21.093569513832104	60.0	0.1003986866191475	1.039998519	0
69,21.40425004559814	60.0	0.5372420028203241	1.193473365	0
70,21.7128228879885	60.0	-2.6657855722610084	1.430112913	0
71,22.02279070522915	54.88735294650292	3.176512037606063	1.896781819	1
72,22.33344015707409	60.0	1.5351903692762274	0.360975821	0
73,22.64133073913956	57.033566912208784	1.061843296624617	1.75671328	0
74,22.951856553938327	60.0	0.3391888057159824	1.304500313	0
75,23.262542053938326	60.0	1.2547240490959999	0.055787591	0
76,23.573227553938327	60.0	-0.66919979392	3.68e-06	0
77,23.883913053938326	60.0	-0.7335998247199998	3.13e-06	0
78,24.194598553938327	60.0	-0.072050569416	0.313382689	0
79,24.50443526283003	60.0	-0.023236742955654026	0.888619484	0
80,24.815110826362094	60.0	1.4140822428442916	0.65068133	0
81,25.12562979557869	60.0	0.6379221610582704	0.735755085	0
82,25.43589711028593	60.0	-1.7965972016591156	0.812183085	0
83,25.74658261028593	60.0	-1.728387875648	0.185930792	0
84,26.057210937629534	60.0	-1.5792375948877297	0.404592632	0
85,26.36732353536951	54.45595935269769	-0.7055907208306389	1.926953011	0
86,26.674224262495848	54.94461277448942	0.13434380870987245	1.892830465	0
87,26.983147555271906	60.0	-0.38905059732817127	1.148587939	0
88,27.288548291872186	56.79868038851627	3.033097100998072	1.771272825	1
89,27.59263297656266	60.0	1.3227262503203683	0.733871199	0
90,27.90331350832869	60.0	1.504726504737196	0.069687085	0
91,28.20994767624377	54.66499083304489	1.2929492639809124	1.912244375	0
92,28.520632550461034	60.0	0.991678474355349	0.958510947	0
93,28.831318050461036	60.0	1.013618173848	0.000325033	0
94,29.142003550461034	60.0	0.8209214671839999	0.009311414	0
95,29.452679720824015	60.0	0.07060121552827475	0.510713469	0
96,29.76275689619167	60.0	0.4892008524999104	0.720034716	0
97,30.07344239619167	60.0	1.4261706258240001	0.217331604	0
98,30.38412789619167	60.0	1.7108091195439996	0.000162349	0
99,30.69481339619167	60.0	1.12840954044	0.000169365	0
100,31.00549889619167	60.0	-0.4303574885119999	0.115044848	0
101,31.31571650960742	59.13860249017555	0.15879856710820464	1.633878795	0
102,31.62268620419234	50.98693832204535	0.8457354708420678	2.198082978	0
103,31.93337170419234	60.0	0.7506994611759998	0.655347521	0
104,32.24405720419234	60.0	-0.08119847120000001	2.73e-05	0
105,32.55474270419234	60.0	-1.021829834648	0.003038667	0
106,32.86542137762412	60.0	-1.5141423236287845	0.562350678	0
107,33.17496977702049	60.0	-1.170342298660961	1.131661902	0
108,33.485642856435575	60.0	0.18351806165926363	0.577000299	0
109,33.79632835643557	60.0	0.9944903678079998	0.008756568	0
110,34.10701385643558	60.0	1.349600067592	2.07e-07	0
111,34.41769935643558	60.0	-0.005202843856000002	0.607092074	0
112,34.72505181387879	58.91078470046686	1.2441645468609144	1.646540191	0
113,35.035726125845386	60.0	1.0966127285341811	1.031702128	0
114,35.346411625845384	60.0	0.20495332709599998	0.009880841	0
115,35.65709712584539	60.0	0.7925508899279999	0.752693963	0
116,35.9642128524951	58.40015312235374	0.3260945076433056	1.675459675	0
117,36.2748983524951	60.0	-0.29940315714399995	0.903515051	0
118,36.585583852495105	60.0	-0.34439999148799993	1.52e-07	0
119,36.8962693524951	60.0	-1.1227999914879998	1.52e-07	0
120,37.2069548524951	60.0	-0.511392972944	0.817982626	0
121,37.513587768844715	51.51979991863015	0.1319075805176878	2.152849229	0
122,37.82418069276782	60.0	0.6858342188022973	1.343790241	0
123,38.13486619276782	60.0	-0.244350118432	0.036605028	0
124,38.445551692767815	60.0	-0.49559998807200006	2.13e-07	0
125,38.75623719276781	60.0	-0.569524426968	0.129920947	0
126,39.06657969473307	60.0	0.05429253530881338	0.468956947	0
127,39.37726456895034	60.0	-0.36164667574490483	0.342037344	0
128,39.687950068950336	60.0	-1.5538082436240002	0.003424221	0
129,39.998635568950334	60.0	-0.061591673136	0.000148694	0
130,40.30932106895034	60.0	0.9408076259679999	0.000136678	0
131,40.62000656895034	60.0	1.549548464296	0.870507791	0
132,40.92692345234404	58.207861073592625	1.3472431351167273	1.686547859	0
133,41.237607094009796	60.0	0.1959027540890895	0.798247316	0
134,41.548292594009794	60.0	-0.159036135944	0.460069001	0
135,41.857873912709685	60.0	-1.5712712420262134	1.04501904	0
136,42.16845005458268	60.0	-1.5099965477088035	1.445775964	0
137,42.478626025826664	60.0	-0.7205497064151136	0.555053253	0
138,42.78689315095099	50.88816773145854	1.746201490657624	2.206623928	0
