Reg,Tech,TrnLen,eTrn,ebtMin,eDie,eBio,eHyd,eBat,eCat,eRcv
NW,HydHyb,100 Cars,10.664325,-0.55150926,0,0,21.475124,0,0.41908792,4.1549406
NW,HydHyb,150 Cars,10.408787,-0.7979902,0,0,21.234137,0,0.3798383,3.796121
NW,Bat,50 Cars,11.09343,-0.07309103,0,0,0,4.6950784,0.4524623,5.3510656
NW,Bat,100 Cars,10.619516,0.09726223,0,0,0,4.4421515,0.43190813,5.067254
NW,Bat,150 Cars,10.382421,0.17053978,0,0,0,4.375773,0.39669818,4.923452
SE,Diesel,50 Cars,31.04892,0,31.04892,0,0,0,0,0
SE,Diesel,100 Cars,30.459412,0,30.459412,0,0,0,0,0
SE,Diesel,150 Cars,30.15225,0,30.15225,0,0,0,0,0
SE,BioDie,50 Cars,32.30775,0,0,32.30775,0,0,0,0
SE,BioDie,100 Cars,31.330566,0,0,31.330566,0,0,0,0
SE,BioDie,150 Cars,29.958982,0,0,29.958982,0,0,0,0
SE,DieHyb,50 Cars,11.188283,-1.1714647,25.341461,0,0,0,0.6660625,5.2019796
SE,DieHyb,100 Cars,11.066379,-0.8290635,28.571854,0,0,0,0.57499105,5.1500254
SE,DieHyb,150 Cars,10.727727,-0.983013,26.71895,0,0,0,0.54438055,4.797326
SE,BioHyb,50 Cars,11.444706,-1.0426015,0,27.280163,0,0,0.6297358,5.3243656
SE,BioHyb,100 Cars,11.062901,-0.8310625,0,29.080969,0,0,0.5832894,5.108264
SE,BioHyb,150 Cars,10.823598,-0.72842926,0,28.557796,0,0,0.55093586,4.9128428
SE,HydHyb,50 Cars,11.382953,-1.0713513,0,0,21.783768,0,0.6495224,4.205375
SE,HydHyb,100 Cars,11.050477,-0.7430689,0,0,22.366476,0,0.5984025,4.15285
SE,HydHyb,150 Cars,10.676453,-0.9339461,0,0,21.323652,0,0.5369376,3.8111324
SE,Bat,50 Cars,11.381809,-0.09963844,0,0,0,4.7268815,0.6713581,5.329708
SE,Bat,100 Cars,10.930609,0.03613733,0,0,0,4.4978914,0.61350393,5.0307846
SE,Bat,150 Cars,10.770459,0.11139679,0,0,0,4.4696813,0.5618388,4.870464
SW,Diesel,50 Cars,28.824203,0,28.824203,0,0,0,0,0
SW,Diesel,100 Cars,28.048971,0,28.048971,0,0,0,0,0
SW,Diesel,150 Cars,28.13085,0,28.13085,0,0,0,0,0
SW,BioDie,50 Cars,30.18923,0,0,30.18923,0,0,0,0
SW,BioDie,100 Cars,29.47258,0,0,29.47258,0,0,0,0
SW,BioDie,150 Cars,27.777596,0,0,27.777596,0,0,0,0
SW,DieHyb,50 Cars,10.202071,-1.1092124,24.87238,0,0,0,0.30220017,5.1166186
SW,DieHyb,100 Cars,9.980299,-0.6479227,26.740818,0,0,0,0.27689418,4.9434924
SW,DieHyb,150 Cars,9.689484,-0.8315028,26.33451,0,0,0,0.25637364,4.5335283
SW,BioHyb,50 Cars,10.441797,-0.9263393,0,26.867283,0,0,0.29355446,5.2449145
SW,BioHyb,100 Cars,9.9699335,-0.6640735,0,26.777517,0,0,0.2804452,4.9049807
SW,BioHyb,150 Cars,9.699189,-0.53912747,0,26.686375,0,0,0.2589747,4.6217256
SW,HydHyb,50 Cars,10.384233,-0.99936306,0,0,21.383553,0,0.29620987,4.1559234
SW,HydHyb,100 Cars,9.94619,-0.5403414,0,0,20.486038,0,0.2893276,4.011288
SW,HydHyb,150 Cars,9.646069,-0.781368,0,0,20.637894,0,0.25014,3.611541
SW,Bat,50 Cars,10.389211,-0.05715246,0,0,0,4.444987,0.32005015,5.2402596
SW,Bat,100 Cars,9.923616,0.05495673,0,0,0,4.1978836,0.29727852,4.845995
SW,Bat,150 Cars,9.631329,0.17366694,0,0,0,4.095751,0.26719204,4.604194
TX,Diesel,50 Cars,32.24815,0,32.24815,0,0,0,0,0
TX,Diesel,100 Cars,31.67158,0,31.67158,0,0,0,0,0
TX,Diesel,150 Cars,31.400764,0,31.400764,0,0,0,0,0
TX,BioDie,50 Cars,33.5182,0,0,33.5182,0,0,0,0
TX,BioDie,100 Cars,32.684998,0,0,32.684998,0,0,0,0
TX,BioDie,150 Cars,31.001818,0,0,31.001818,0,0,0,0
TX,DieHyb,50 Cars,11.806169,-1.039306,25.624105,0,0,0,1.4651277,5.385598
TX,DieHyb,100 Cars,11.488359,-0.6545404,26.883036,0,0,0,1.271089,5.360817
TX,DieHyb,150 Cars,11.238894,-0.8361448,26.922659,0,0,0,1.2316551,5.0067916
TX,BioHyb,50 Cars,11.952809,-0.85886115,0,27.579075,0,0,1.3997356,5.508314
TX,BioHyb,100 Cars,11.431672,-0.6308091,0,26.483757,0,0,1.2734603,5.323331
TX,BioHyb,150 Cars,11.315535,-0.6257176,0,27.414564,0,0,1.1896263,5.1287203
TX,HydHyb,50 Cars,11.872424,-0.8180033,0,0,21.957277,0,1.4079455,4.3172235
TX,HydHyb,100 Cars,11.484773,-0.5445312,0,0,20.657494,0,1.3139886,4.2904816
TX,HydHyb,150 Cars,11.250447,-0.80525243,0,0,21.427433,0,1.2267945,3.9467306
TX,Bat,50 Cars,11.84183,0.19792211,0,0,0,4.579013,1.4705466,5.5213475
TX,Bat,100 Cars,11.344098,0.27238935,0,0,0,4.3716393,1.3132298,5.2307744
TX,Bat,150 Cars,11.2717705,0.2564201,0,0,0,4.3986955,1.2144179,5.089582
