,energy_system_scenario,freight_demand_scenario,year,region,technology,levelized_train_cost (cents/ton-mile),levelized_fuel_cost (cents/ton-mile),levelized_infrastructure_cost (cents/ton-mile),levelized_contingency_cost (cents/ton-mile),total_levelized_cost (cents/ton-mile)
48,Reference/business as usual,Agricultural Reduction,2025,south_east,hydrogen,0.4334485849475726,-1.4732044133046762,72.2033702618895,14.232722886706481,85.39633732023889
49,Reference/business as usual,Agricultural Reduction,2025,south_west,battery,0.9831715068697616,0.5008833347211293,2.5896737818302764,0.8147457246842335,4.888474348105401
50,Reference/business as usual,Agricultural Reduction,2025,south_west,battery,0.9831715068697616,0.5008833347211293,2.728566106724913,0.8425241896631607,5.055145137978965
51,Reference/business as usual,Agricultural Reduction,2025,south_west,biodiesel,0.0,0.0,inf,0.0,0.0
52,Reference/business as usual,Agricultural Reduction,2025,south_west,catenary,0.0,0.5008833347211296,33.59231960459391,6.818640587863008,40.91184352717805
53,Reference/business as usual,Agricultural Reduction,2025,south_west,diesel,0.31283319162014694,0.8920754500000423,1.010107839885301,0.443003296301098,2.658019777806588
54,Reference/business as usual,Agricultural Reduction,2025,south_west,hydrogen,0.4814841569406322,-0.25657030530416924,7.229064340454435,1.4907956384181795,8.944773830509076
55,Reference/business as usual,Agricultural Reduction,2025,south_west,hydrogen,0.4814841569406322,-0.25657030530416924,7.318257212598087,1.50863421284691,9.05180527708146
56,Reference/business as usual,Agricultural Reduction,2025,texas,battery,0.9879467841662839,0.9712547073829191,16.995651437504534,3.7909705858107476,22.745823514864483
57,Reference/business as usual,Agricultural Reduction,2025,texas,battery,0.9879467841662839,0.9712547073829191,17.953425297329403,3.9825253577757214,23.895152146654326
58,Reference/business as usual,Agricultural Reduction,2025,texas,biodiesel,0.0,0.0,inf,0.0,0.0
59,Reference/business as usual,Agricultural Reduction,2025,texas,catenary,0.0,0.9712547073829193,22.018077494115474,4.597866440299679,27.58719864179807
60,Reference/business as usual,Agricultural Reduction,2025,texas,diesel,0.336366062028314,1.9561512734767275,0.7404133886220242,0.6065861448254132,3.639516868952479
61,Reference/business as usual,Agricultural Reduction,2025,texas,hydrogen,0.40978554418353363,-0.8185632707990473,41.52495368912007,8.22323519250091,49.339411155005465
62,Reference/business as usual,Agricultural Reduction,2025,texas,hydrogen,0.40978554418353363,-0.8185632707990473,42.13178057482664,8.344600569642227,50.067603417853356
63,Reference/business as usual,Agricultural Reduction,2030,california,biodiesel,0.0,0.0,inf,0.0,0.0
64,Reference/business as usual,Agricultural Reduction,2030,california,catenary,0.0,7.159116941961156,33.31367529195765,8.094558446783763,48.567350680702575
65,Reference/business as usual,Agricultural Reduction,2030,california,diesel,0.3680756249607347,10.974591683476564,2.325803931271766,2.733694247941813,16.40216548765088
66,Reference/business as usual,Agricultural Reduction,2030,central,biodiesel,0.0,0.0,inf,0.0,0.0
67,Reference/business as usual,Agricultural Reduction,2030,central,catenary,0.0,1.227754576008915,11.087538939664032,2.4630587031345894,14.778352218807536
